103.0,124.0,123.0,64.0,71.0,72.0,76.0
28.0,30.0,5.0,12.0,13.0,15.0,16.0
26.0,50.0,38.0,76.0,63.0,67.0,67.0
0.0,9.0,23.0,51.0,61.0,61.0,66.0
30.0,0.0,52.0,57.0,63.0,65.0,66.0
97.0,97.0,65.0,38.0,32.0,33.0,38.0
113.0,116.0,80.0,35.0,54.0,47.0,48.0
93.0,45.0,38.0,64.0,66.0,68.0,67.0
104.0,182.0,155.0,136.0,68.0,49.0,50.0
120.0,99.0,102.0,54.0,54.0,56.0,57.0
100.0,91.0,72.0,77.0,81.0,79.0,77.0
0.0,43.0,27.0,32.0,35.0,36.0,37.0
24.0,27.0,35.0,27.0,34.0,44.0,46.0
111.0,161.0,199.0,43.0,69.0,45.0,45.0
37.0,80.0,82.0,67.0,77.0,75.0,84.0
17.0,67.0,74.0,31.0,16.0,45.0,55.0
75.0,76.0,49.0,81.0,80.0,81.0,86.0
1.0,11.0,18.0,40.0,45.0,46.0,52.0
51.0,38.0,42.0,49.0,50.0,51.0,64.0
0.0,5.0,7.0,15.0,16.0,22.0,25.0
185.0,185.0,93.0,77.0,83.0,83.0,83.0
42.0,60.0,25.0,37.0,40.0,40.0,43.0
91.0,142.0,187.0,78.0,68.0,68.0,74.0
64.0,77.0,60.0,58.0,64.0,73.0,74.0
61.0,119.0,120.0,68.0,78.0,81.0,85.0
40.0,47.0,73.0,77.0,75.0,76.0,75.0
147.0,136.0,172.0,79.0,79.0,80.0,81.0
7.0,59.0,46.0,73.0,61.0,61.0,58.0
183.0,225.0,142.0,67.0,71.0,71.0,79.0
195.0,240.0,259.0,65.0,67.0,71.0,71.0
126.0,78.0,28.0,52.0,55.0,58.0,56.0
0.0,30.0,21.0,18.0,15.0,17.0,25.0
38.0,113.0,87.0,77.0,81.0,81.0,81.0
40.0,64.0,52.0,55.0,45.0,52.0,52.0
114.0,135.0,115.0,82.0,84.0,83.0,83.0
68.0,113.0,98.0,96.0,93.0,93.0,93.0
0.0,0.0,0.0,0.0,3.0,3.0,3.0
49.0,77.0,38.0,39.0,42.0,46.0,49.0
0.0,2.0,6.0,10.0,12.0,16.0,22.0
